,timestamp,,open_price,highest_price,lowest_price,current_price,volume,market_name
220,1.57594E+12,2019/12/10,0.0194,0.0194,0.0194,0.0194,0,BCT_USDT
221,1.57602E+12,2019/12/11,0.0194,0.0194,0.0194,0.0194,0,BCT_USDT
222,1.57611E+12,2019/12/12,0.0194,0.0194,0.0194,0.0194,0,BCT_USDT
223,1.5762E+12,2019/12/13,0.0194,0.0194,0.0194,0.0194,0,BCT_USDT
224,1.57628E+12,2019/12/14,0.0194,0.0194,0.0194,0.0194,0,BCT_USDT
225,1.57637E+12,2019/12/15,0.0194,0.0194,0.0194,0.0194,0,BCT_USDT
226,1.57645E+12,2019/12/16,0.0194,0.0194,0.0194,0.0194,0,BCT_USDT
227,1.57654E+12,2019/12/17,0.0194,0.0194,0.0194,0.0194,0,BCT_USDT
228,1.57663E+12,2019/12/18,0.0194,0.0194,0.0194,0.0194,0,BCT_USDT
229,1.57671E+12,2019/12/19,0.0281,0.0281,0.0281,0.0281,126172,BCT_USDT
230,1.5768E+12,2019/12/20,0.028,0.028,0.0279,0.028,110645,BCT_USDT
231,1.57689E+12,2019/12/21,0.0285,0.0285,0.028,0.028,50000,BCT_USDT
232,1.57697E+12,2019/12/22,0.028,0.028,0.028,0.028,0,BCT_USDT
233,1.57706E+12,2019/12/23,0.028,0.028,0.028,0.028,0,BCT_USDT
234,1.57715E+12,2019/12/24,0.028,0.028,0.028,0.028,0,BCT_USDT
235,1.57723E+12,2019/12/25,0.028,0.028,0.028,0.028,0,BCT_USDT
236,1.57732E+12,2019/12/26,0.028,0.028,0.028,0.028,0,BCT_USDT
237,1.5774E+12,2019/12/27,0.028,0.028,0.028,0.028,0,BCT_USDT
238,1.57749E+12,2019/12/28,0.028,0.028,0.028,0.028,0,BCT_USDT
239,1.57758E+12,2019/12/29,0.028,0.028,0.028,0.028,0,BCT_USDT
240,1.57766E+12,2019/12/30,0.028,0.028,0.028,0.028,0,BCT_USDT
241,1.57775E+12,2019/12/31,0.028,0.028,0.028,0.028,0,BCT_USDT
242,1.57784E+12,2020/1/1,0.028,0.028,0.028,0.028,0,BCT_USDT
243,1.57792E+12,2020/1/2,0.028,0.028,0.028,0.028,0,BCT_USDT
244,1.57801E+12,2020/1/3,0.028,0.028,0.028,0.028,0,BCT_USDT
245,1.5781E+12,2020/1/4,0.028,0.028,0.028,0.028,0,BCT_USDT
246,1.57818E+12,2020/1/5,0.028,0.028,0.028,0.028,0,BCT_USDT
247,1.57827E+12,2020/1/6,0.028,0.028,0.028,0.028,0,BCT_USDT
248,1.57836E+12,2020/1/7,0.028,0.028,0.028,0.028,0,BCT_USDT
249,1.57844E+12,2020/1/8,0.028,0.028,0.028,0.028,0,BCT_USDT
250,1.57853E+12,2020/1/9,0.028,0.028,0.028,0.028,300,BCT_USDT
251,1.57861E+12,2020/1/10,0.028,0.028,0.027,0.027,179544,BCT_USDT
252,1.5787E+12,2020/1/11,0.027,0.027,0.027,0.027,0,BCT_USDT
253,1.57879E+12,2020/1/12,0.027,0.027,0.027,0.027,0,BCT_USDT
254,1.57887E+12,2020/1/13,0.027,0.027,0.027,0.027,0,BCT_USDT
255,1.57896E+12,2020/1/14,0.028,0.028,0.027,0.027,2060,BCT_USDT
256,1.57905E+12,2020/1/15,0.027,0.0292,0.027,0.0292,39340,BCT_USDT
257,1.57913E+12,2020/1/16,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
258,1.57922E+12,2020/1/17,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
259,1.57931E+12,2020/1/18,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
260,1.57939E+12,2020/1/19,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
261,1.57948E+12,2020/1/20,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
262,1.57956E+12,2020/1/21,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
263,1.57965E+12,2020/1/22,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
264,1.57974E+12,2020/1/23,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
265,1.57982E+12,2020/1/24,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
266,1.57991E+12,2020/1/25,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
267,1.58E+12,2020/1/26,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
268,1.58008E+12,2020/1/27,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
269,1.58017E+12,2020/1/28,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
270,1.58026E+12,2020/1/29,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
271,1.58034E+12,2020/1/30,0.0292,0.0292,0.0292,0.0292,0,BCT_USDT
272,1.58043E+12,2020/1/31,0.0277,0.0277,0.0277,0.0277,1049,BCT_USDT
273,1.58052E+12,2020/2/1,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
274,1.5806E+12,2020/2/2,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
275,1.58069E+12,2020/2/3,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
276,1.58086E+12,2020/2/5,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
277,1.58095E+12,2020/2/6,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
278,1.58103E+12,2020/2/7,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
279,1.58112E+12,2020/2/8,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
280,1.58121E+12,2020/2/9,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
281,1.58129E+12,2020/2/10,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
282,1.58138E+12,2020/2/11,0.0277,0.0277,0.0277,0.0277,13571,BCT_USDT
283,1.58147E+12,2020/2/12,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
284,1.58155E+12,2020/2/13,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
285,1.58164E+12,2020/2/14,0.0278,0.0278,0.0277,0.0277,1190,BCT_USDT
286,1.58172E+12,2020/2/15,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
287,1.58181E+12,2020/2/16,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
288,1.5819E+12,2020/2/17,0.0277,0.0277,0.0277,0.0277,818,BCT_USDT
289,1.58198E+12,2020/2/18,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
290,1.58207E+12,2020/2/19,0.0277,0.0277,0.0277,0.0277,0,BCT_USDT
291,1.58216E+12,2020/2/20,0.0277,0.0277,0.027,0.027,19875,BCT_USDT
292,1.58224E+12,2020/2/21,0.027,0.027,0.027,0.027,0,BCT_USDT
293,1.58233E+12,2020/2/22,0.027,0.027,0.027,0.027,28499,BCT_USDT
294,1.58242E+12,2020/2/23,0.027,0.027,0.027,0.027,0,BCT_USDT
295,1.5825E+12,2020/2/24,0.027,0.027,0.027,0.027,0,BCT_USDT
296,1.58259E+12,2020/2/25,0.027,0.027,0.027,0.027,0,BCT_USDT
297,1.58268E+12,2020/2/26,0.027,0.027,0.027,0.027,0,BCT_USDT
298,1.58276E+12,2020/2/27,0.027,0.027,0.027,0.027,0,BCT_USDT
299,1.58285E+12,2020/2/28,0.027,0.027,0.027,0.027,0,BCT_USDT
300,1.58293E+12,2020/2/29,0.027,0.027,0.027,0.027,0,BCT_USDT
301,1.58302E+12,2020/3/1,0.027,0.027,0.027,0.027,0,BCT_USDT
302,1.58311E+12,2020/3/2,0.027,0.027,0.027,0.027,0,BCT_USDT
